id;content_proposal;start_date;end_date;status;note;remaining_date;additional_date
1;Car;2020-05-31T04:43:44;2020-05-31T09:09:56;false;PNG Practical Metal Chips mobile;65110;73866
2;copying;2020-05-31T02:43:35;2020-05-30T23:03:38;false;Kids Fantastic Rubber Computer;26346;59591
3;Congo;2020-05-30T17:48:58;2020-05-30T14:13:01;true;collaborative Applications;99224;49817
4;ivory Switchable;2020-05-30T15:46:11;2020-05-30T18:54:24;false;purple Metrics;94498;48433
5;Health Practical Cotton Bacon;2020-05-30T17:03:23;2020-05-30T19:31:43;true;back up District;95241;10937
6;niches California;2020-05-30T17:23:41;2020-05-30T17:23:55;false;maximize mindshare;42671;40417
7;parse Granite;2020-05-31T02:19:42;2020-05-31T00:35:46;true;Personal Loan Account;95430;98210
8;Solomon Islands Dollar architect;2020-05-30T16:07:07;2020-05-31T09:38:59;true;port;89633;26706
9;orchid Forward;2020-05-31T00:30:21;2020-05-30T18:45:54;true;Planner;21629;93683
10;Rubber cross-platform Automotive;2020-05-31T00:51:12;2020-05-30T13:51:29;true;Keyboard;24999;92877
